problem_name,solver_name,run_id,relative_error_distance
G05,CCPSO,1,0.9835335832310711
G05,CCPSO,2,1.0147496032535748
G05,CCPSO,3,0.9969850242762004
G05,CCPSO,4,1.0176501389074217
G05,CCPSO,5,1.044735606256843
G05,CCPSO,6,1.0240077272853794
G05,CCPSO,7,1.0243376201663585
G05,CCPSO,8,1.022672010441749
G05,CCPSO,9,0.9792687322963943
G05,CCPSO,10,0.8309676176041868
G05,CCPSO,11,0.94522917967688
G05,CCPSO,12,0.8180226946418602
G05,CCPSO,13,0.9666135884806387
G05,CCPSO,14,0.9681361317693985
G05,CCPSO,15,0.9572758868180837
G05,CCPSO,16,0.9814687350229954
G05,CCPSO,17,0.9795916576550263
G05,CCPSO,18,1.0308405079340348
G05,CCPSO,19,1.0262291012644968
G05,CCPSO,20,0.8599949068464809
G05,CCPSO,21,0.8627287772740239
G05,CCPSO,22,0.9390179180504268
G05,CCPSO,23,1.0267548038814374
G05,CCPSO,24,0.989383900255629
G05,CCPSO,25,0.9306240913222874
G05,CCPSO,26,1.0082743686975755
G05,CCPSO,27,1.0126370748527014
G05,CCPSO,28,0.9231674885573626
G05,CCPSO,29,1.0116987633107695
G05,CCPSO,30,1.020398222019355
