run_id,final_igd,hv_feasible,front_feasibility_pct,front_size
1,0.00599356,0.53739912,100.0000,100
2,0.00586665,0.53760710,100.0000,100
3,0.00527864,0.53780549,100.0000,100
4,0.00612806,0.53739841,100.0000,100
5,0.00615105,0.53717195,100.0000,100
6,0.00571909,0.53764740,100.0000,100
7,0.00622324,0.53732309,100.0000,100
8,0.00582631,0.53751913,100.0000,100
9,0.00570919,0.53756073,100.0000,100
10,0.00569928,0.53777155,100.0000,100
11,0.00527849,0.53757215,100.0000,100
12,0.00579813,0.53767756,100.0000,100
13,0.00570578,0.53744809,100.0000,100
14,0.00531496,0.53787610,100.0000,100
15,0.00593238,0.53703855,100.0000,100
16,0.00617732,0.53768624,100.0000,100
17,0.00650112,0.53705126,100.0000,100
18,0.00562434,0.53736849,100.0000,100
19,0.00559802,0.53765165,100.0000,100
20,0.00599824,0.53758947,100.0000,100
21,0.00570211,0.53753459,100.0000,100
22,0.00557585,0.53738187,100.0000,100
23,0.00582687,0.53759148,100.0000,100
24,0.00590661,0.53738616,100.0000,100
25,0.00549540,0.53788114,100.0000,100
26,0.00573695,0.53762996,100.0000,100
27,0.00575114,0.53738833,100.0000,100
28,0.00584430,0.53761418,100.0000,100
29,0.00563358,0.53754599,100.0000,100
30,0.00547448,0.53778798,100.0000,100
