run_id,final_igd,hv_feasible,front_feasibility_pct,front_size
1,0.00613195,0.87034515,100.0000,100
2,0.00536351,0.87088191,100.0000,100
3,0.00623271,0.87004429,100.0000,100
4,0.00614166,0.87019577,100.0000,100
5,0.00545798,0.87080624,100.0000,100
6,0.00533316,0.87074142,100.0000,100
7,0.00545087,0.87060196,100.0000,100
8,0.00550467,0.87084958,100.0000,100
9,0.00596610,0.87013936,100.0000,100
10,0.00571783,0.87041484,100.0000,100
11,0.00534216,0.87073854,100.0000,100
12,0.00592210,0.87035885,100.0000,100
13,0.00580856,0.87075441,100.0000,100
14,0.00521186,0.87076660,100.0000,100
15,0.00592607,0.87016877,100.0000,100
16,0.00616067,0.87032832,100.0000,100
17,0.00573541,0.87073417,100.0000,100
18,0.00566414,0.87073771,100.0000,100
19,0.00566629,0.87043619,100.0000,100
20,0.00575354,0.87042337,100.0000,100
21,0.00615354,0.87024949,100.0000,100
22,0.00548573,0.87075966,100.0000,100
23,0.00559252,0.87064398,100.0000,100
24,0.00609158,0.87062170,100.0000,100
25,0.00611544,0.87047164,100.0000,100
26,0.00552747,0.87066268,100.0000,100
27,0.00559720,0.87067358,100.0000,100
28,0.00619514,0.87021255,100.0000,100
29,0.00548348,0.87067987,100.0000,100
30,0.00524860,0.87114878,100.0000,100
