run_id,final_igd,hv_feasible,front_feasibility_pct,front_size
1,0.00387786,0.50320274,100.0000,100
2,0.00389716,0.50300451,100.0000,100
3,0.00393041,0.50345209,100.0000,100
4,0.00321993,0.50330852,100.0000,100
5,0.00370095,0.50335934,100.0000,100
6,0.00387853,0.50319271,100.0000,100
7,0.00425941,0.50323641,100.0000,100
8,0.00436474,0.50331603,100.0000,100
9,0.00346238,0.50326016,100.0000,100
10,0.00421165,0.50299012,100.0000,100
11,0.00381604,0.50325044,100.0000,100
12,0.00423229,0.50343534,100.0000,100
13,0.00417791,0.50292235,100.0000,100
14,0.00367738,0.50315460,100.0000,100
15,0.00356423,0.50314503,100.0000,100
16,0.00388432,0.50326291,100.0000,100
17,0.00335543,0.50338732,100.0000,100
18,0.00381098,0.50359628,100.0000,100
19,0.00396988,0.50304634,100.0000,100
20,0.00369131,0.50314673,100.0000,100
21,0.00372661,0.50313195,100.0000,100
22,0.00399841,0.50319289,100.0000,100
23,0.00350149,0.50320776,100.0000,100
24,0.00389023,0.50323067,100.0000,100
25,0.00362969,0.50304077,100.0000,100
26,0.00348362,0.50336399,100.0000,100
27,0.00355154,0.50339769,100.0000,100
28,0.00387925,0.50332058,100.0000,100
29,0.00430218,0.50331515,100.0000,100
30,0.00424473,0.50327168,100.0000,100
