run_id,final_igd,hv_feasible,front_feasibility_pct,front_size
1,0.00665785,1.32865408,100.0000,100
2,0.00688911,1.32851781,100.0000,100
3,0.00672987,1.32846123,100.0000,100
4,0.00699953,1.32856484,100.0000,100
5,0.00668034,1.32840198,100.0000,100
6,0.00718911,1.32833007,100.0000,100
7,0.00655134,1.32853414,100.0000,100
8,0.00686112,1.32862119,100.0000,100
9,0.00631059,1.32848969,100.0000,100
10,0.00633930,1.32877928,100.0000,100
11,0.00678846,1.32867855,100.0000,100
12,0.00675703,1.32868923,100.0000,100
13,0.00631391,1.32888102,100.0000,100
14,0.00666795,1.32882782,100.0000,100
15,0.00804522,1.32814975,100.0000,100
16,0.00677861,1.32862469,100.0000,100
17,0.00703644,1.32860426,100.0000,100
18,0.00674157,1.32852212,100.0000,100
19,0.00673245,1.32880506,100.0000,100
20,0.00664180,1.32862705,100.0000,100
21,0.00698800,1.32847821,100.0000,100
22,0.00697300,1.32836575,100.0000,100
23,0.00683112,1.32842213,100.0000,100
24,0.00660709,1.32864734,100.0000,100
25,0.00657827,1.32863974,100.0000,100
26,0.00686660,1.32872364,100.0000,100
27,0.00648392,1.32856012,100.0000,100
28,0.00720164,1.32855190,100.0000,100
29,0.00676272,1.32883282,100.0000,100
30,0.00660693,1.32848462,100.0000,100
