run_id,iteration,archive_size,igd,gd,hypervolume,spacing,spread,population_feasibility_pct,population_diversity,front
1,1,3,0.276752,0.045224,0.221672,0.030566,0.605936,10.0000,0.820921,"[[0.9860469622320032, 0.4129507892791051], [0.5275691131245277, 0.8116904076341487], [0.8022151292462201, 0.6841987148003142]]"
1,2,7,0.211237,0.041376,0.268989,0.091275,0.773379,18.0000,0.688811,"[[0.9860469622320032, 0.4129507892791051], [0.5275691131245277, 0.8116904076341487], [0.8022151292462201, 0.6841987148003142], [0.7464861734206172, 0.7493733819200776], [0.49159083969021605, 0.8658165863861018], [1.0134039902239271, 0.18884537532145051], [0.726691143003892, 0.766402120551287]]"
1,3,9,0.085520,0.050693,0.315902,0.143709,0.761714,20.0000,0.815474,"[[0.5275691131245277, 0.8116904076341487], [0.8022151292462201, 0.6841987148003142], [0.7464861734206172, 0.7493733819200776], [0.49159083969021605, 0.8658165863861018], [0.726691143003892, 0.766402120551287], [0.16723309219568522, 0.9463848624199002], [0.9101986525472465, 0.6299564825645286], [0.1288205341178715, 0.9991717957686974], [0.95005178255319, 0.16448194515827913]]"
1,4,13,0.081587,0.051998,0.323328,0.128044,0.860736,18.0000,0.922029,"[[0.5275691131245277, 0.8116904076341487], [0.8022151292462201, 0.6841987148003142], [0.7464861734206172, 0.7493733819200776], [0.49159083969021605, 0.8658165863861018], [0.726691143003892, 0.766402120551287], [0.16723309219568522, 0.9463848624199002], [0.9101986525472465, 0.6299564825645286], [0.1288205341178715, 0.9991717957686974], [0.95005178255319, 0.16448194515827913], [0.46832121240564917, 0.8922244053570568], [0.8649369161777283, 0.6392282858641739], [0.12715480843025367, 1.0144186502124215], [0.2103235119593739, 0.9303784005282194]]"
1,5,14,0.039178,0.019024,0.348129,0.048645,0.779557,24.0000,0.977440,"[[0.5275691131245277, 0.8116904076341487], [0.8022151292462201, 0.6841987148003142], [0.7464861734206172, 0.7493733819200776], [0.49159083969021605, 0.8658165863861018], [0.726691143003892, 0.766402120551287], [0.16723309219568522, 0.9463848624199002], [0.1288205341178715, 0.9991717957686974], [0.95005178255319, 0.16448194515827913], [0.46832121240564917, 0.8922244053570568], [0.12715480843025367, 1.0144186502124215], [0.2103235119593739, 0.9303784005282194], [0.07499852225264464, 1.0483161117080193], [0.8327470994846391, 0.5088613521457654], [0.98621627998385, 0.12199500007878061]]"
1,6,16,0.039085,0.022385,0.348305,0.041801,0.838068,23.0000,0.827720,"[[0.5275691131245277, 0.8116904076341487], [0.8022151292462201, 0.6841987148003142], [0.7464861734206172, 0.7493733819200776], [0.49159083969021605, 0.8658165863861018], [0.726691143003892, 0.766402120551287], [0.16723309219568522, 0.9463848624199002], [0.1288205341178715, 0.9991717957686974], [0.95005178255319, 0.16448194515827913], [0.46832121240564917, 0.8922244053570568], [0.12715480843025367, 1.0144186502124215], [0.2103235119593739, 0.9303784005282194], [0.07499852225264464, 1.0483161117080193], [0.8327470994846391, 0.5088613521457654], [0.98621627998385, 0.12199500007878061], [0.10728999372011946, 1.0353862542013632], [0.8126482186741504, 0.6754579933285345]]"
1,7,19,0.034415,0.023085,0.350677,0.026973,0.780603,24.0000,0.790700,"[[0.5275691131245277, 0.8116904076341487], [0.8022151292462201, 0.6841987148003142], [0.7464861734206172, 0.7493733819200776], [0.49159083969021605, 0.8658165863861018], [0.726691143003892, 0.766402120551287], [0.16723309219568522, 0.9463848624199002], [0.1288205341178715, 0.9991717957686974], [0.95005178255319, 0.16448194515827913], [0.46832121240564917, 0.8922244053570568], [0.12715480843025367, 1.0144186502124215], [0.2103235119593739, 0.9303784005282194], [0.07499852225264464, 1.0483161117080193], [0.8327470994846391, 0.5088613521457654], [0.98621627998385, 0.12199500007878061], [0.10728999372011946, 1.0353862542013632], [0.8126482186741504, 0.6754579933285345], [0.6794020259621174, 0.7814750517696288], [0.9284310781065918, 0.4989908150604118], [0.9625979797200213, 0.13360015245905393]]"
1,8,22,0.024814,0.018877,0.369152,0.024194,0.740396,33.0000,0.769614,"[[0.5275691131245277, 0.8116904076341487], [0.7464861734206172, 0.7493733819200776], [0.49159083969021605, 0.8658165863861018], [0.726691143003892, 0.766402120551287], [0.16723309219568522, 0.9463848624199002], [0.95005178255319, 0.16448194515827913], [0.46832121240564917, 0.8922244053570568], [0.2103235119593739, 0.9303784005282194], [0.07499852225264464, 1.0483161117080193], [0.8327470994846391, 0.5088613521457654], [0.98621627998385, 0.12199500007878061], [0.10728999372011946, 1.0353862542013632], [0.6794020259621174, 0.7814750517696288], [0.9284310781065918, 0.4989908150604118], [0.9625979797200213, 0.13360015245905393], [0.6752981300852553, 0.8025364634912149], [0.0667507867598659, 1.0567245424465113], [0.10939152380622078, 0.9940467396309768], [0.7707826473572323, 0.7222592096426914], [1.0167295173597437, 0.09336945678199818], [0.7905171876325278, 0.5526735578976644], [1.0390629043775996, 0.045598871745036906]]"
1,9,24,0.024591,0.018652,0.369390,0.027904,0.781114,25.0000,0.751194,"[[0.5275691131245277, 0.8116904076341487], [0.7464861734206172, 0.7493733819200776], [0.49159083969021605, 0.8658165863861018], [0.726691143003892, 0.766402120551287], [0.16723309219568522, 0.9463848624199002], [0.95005178255319, 0.16448194515827913], [0.46832121240564917, 0.8922244053570568], [0.2103235119593739, 0.9303784005282194], [0.07499852225264464, 1.0483161117080193], [0.8327470994846391, 0.5088613521457654], [0.98621627998385, 0.12199500007878061], [0.10728999372011946, 1.0353862542013632], [0.6794020259621174, 0.7814750517696288], [0.9284310781065918, 0.4989908150604118], [0.9625979797200213, 0.13360015245905393], [0.6752981300852553, 0.8025364634912149], [0.0667507867598659, 1.0567245424465113], [0.10939152380622078, 0.9940467396309768], [0.7707826473572323, 0.7222592096426914], [1.0167295173597437, 0.09336945678199818], [0.7905171876325278, 0.5526735578976644], [1.0390629043775996, 0.045598871745036906], [0.07011704271390562, 1.0484514854049178], [1.0077452967468643, 0.09549360115095148]]"
1,10,25,0.023621,0.015369,0.373135,0.028171,0.799529,33.0000,0.792029,"[[0.5275691131245277, 0.8116904076341487], [0.7464861734206172, 0.7493733819200776], [0.49159083969021605, 0.8658165863861018], [0.726691143003892, 0.766402120551287], [0.16723309219568522, 0.9463848624199002], [0.46832121240564917, 0.8922244053570568], [0.2103235119593739, 0.9303784005282194], [0.8327470994846391, 0.5088613521457654], [0.98621627998385, 0.12199500007878061], [0.6794020259621174, 0.7814750517696288], [0.9284310781065918, 0.4989908150604118], [0.9625979797200213, 0.13360015245905393], [0.6752981300852553, 0.8025364634912149], [0.10939152380622078, 0.9940467396309768], [0.7707826473572323, 0.7222592096426914], [1.0167295173597437, 0.09336945678199818], [0.7905171876325278, 0.5526735578976644], [1.0390629043775996, 0.045598871745036906], [1.0077452967468643, 0.09549360115095148], [0.06458482039102065, 1.0303671446393423], [0.9428913880648386, 0.15632237652517478], [0.7836644223218034, 0.5745152968630357], [1.002996254266349, 0.09930257050135542], [0.9609006999054556, 0.14053320586481075], [1.0325376223149518, 0.08701713078072718]]"
