run_id,iteration,archive_size,igd,gd,hypervolume,spacing,spread,population_feasibility_pct,population_diversity,front
1,1,15,2.265481,2.879824,3.166509,0.127626,0.859569,100.0000,1.260816,"[[0.10375708087332669, 4.090495892355664], [0.18191765767521284, 3.789009546421046], [0.014499061741066632, 5.082407365646731], [0.9740221163220326, 2.5172637729485863], [0.02399480788292263, 4.240119748257313], [0.1875506449260651, 3.546364527695831], [0.6704308800186867, 2.7018014624580515], [0.14534518164712162, 4.05182949726893], [0.1034329916942534, 4.0953641253578486], [0.02049621170114657, 4.4343230518476195], [0.23358685877796906, 3.4374207979627087], [0.5762597209206823, 2.9165877781558627], [0.3344017053807297, 3.177285019076799], [0.6329485786773956, 2.747355601003545], [0.0, 5.209211672208754]]"
1,2,25,2.038783,2.504516,3.337376,0.071670,0.818597,100.0000,1.185815,"[[0.18191765767521284, 3.789009546421046], [0.9740221163220326, 2.5172637729485863], [0.02399480788292263, 4.240119748257313], [0.1875506449260651, 3.546364527695831], [0.02049621170114657, 4.4343230518476195], [0.23358685877796906, 3.4374207979627087], [0.5762597209206823, 2.9165877781558627], [0.5484322106789163, 2.9728789619749305], [0.17199839156486085, 3.8081641738621044], [0.0, 4.976745442949801], [1.0, 2.274546768535145], [0.31964971996454306, 3.0538910003000126], [0.015537536312687998, 4.650987113305351], [0.28058252741317036, 3.4158332030927996], [0.5943822682645163, 2.6777196071639273], [0.9968682950442274, 2.4167586706372823], [0.311215228306689, 3.1674298684286364], [0.2693699391640487, 3.43191288789642], [0.5791563230507351, 2.8016763160932503], [0.038204574214601106, 4.177086562425542], [0.7075808108679142, 2.5649410785896354], [0.42678244533847853, 2.979584967374116], [0.6803984663188035, 2.633795903109785], [0.76074060968252, 2.5282975007744946], [0.08514422822917622, 4.01559980095227]]"
1,3,16,1.957439,2.718285,3.616861,0.078822,0.792127,100.0000,1.243321,"[[0.02399480788292263, 4.240119748257313], [0.02049621170114657, 4.4343230518476195], [0.31964971996454306, 3.0538910003000126], [0.015537536312687998, 4.650987113305351], [0.038204574214601106, 4.177086562425542], [0.0, 4.964804216738469], [0.04300409565233759, 3.786087900700302], [0.20201890531021094, 3.1274262711270393], [0.09465139131653327, 3.6134978932058583], [0.37270035209490254, 2.6781777446686332], [0.012716584153140763, 4.734999139133691], [0.6987108528460455, 2.28203742407456], [0.47386071031120025, 2.5681504642659685], [0.12880881744435618, 3.513825357320603], [0.9532520360291793, 2.209900368905034], [0.6453979085600308, 2.5650505543439213]]"
1,4,14,1.785475,2.375161,3.811475,0.133134,0.869492,100.0000,1.234409,"[[0.02399480788292263, 4.240119748257313], [0.038204574214601106, 4.177086562425542], [0.04300409565233759, 3.786087900700302], [0.20201890531021094, 3.1274262711270393], [0.09465139131653327, 3.6134978932058583], [0.6987108528460455, 2.28203742407456], [0.1093225541899012, 3.3542225088138857], [0.0, 4.414283711017863], [0.09220428036064643, 3.7652686739904944], [0.7662853007215713, 2.1225840884907585], [0.30790994832955076, 2.449955021219089], [0.8077650803686878, 2.06375681730162], [0.24192058257455357, 3.095326392000625], [0.9309171740153024, 2.035435206342041]]"
1,5,11,1.712268,1.625284,4.048957,0.187052,0.956957,100.0000,1.223227,"[[0.1093225541899012, 3.3542225088138857], [0.7662853007215713, 2.1225840884907585], [0.8077650803686878, 2.06375681730162], [0.0, 3.4637614323779022], [0.14873878471667504, 2.71944961832445], [0.8387226914876986, 2.001546478119027], [0.7190353959784825, 2.205073541571952], [0.940685764355431, 1.9474178538632825], [0.3004112397634242, 2.266216228893105], [0.9235388096043332, 1.9756520791091603], [0.9868244425880455, 1.944488774921851]]"
1,6,9,1.524842,1.599917,4.215771,0.149454,0.791131,100.0000,1.206235,"[[0.14873878471667504, 2.71944961832445], [0.3004112397634242, 2.266216228893105], [0.0, 3.4310481632743044], [0.09045562585173368, 2.9525083417053533], [1.0, 1.7319054880282303], [0.7794574649628381, 1.8479090232309465], [0.24085360299191894, 2.6440996824979575], [0.45906451069907195, 2.0584180600038144], [0.9892271729375645, 1.8379307093646295]]"
1,7,12,1.236596,1.414864,4.396546,0.076208,0.738482,100.0000,1.269002,"[[0.14873878471667504, 2.71944961832445], [0.3004112397634242, 2.266216228893105], [0.09045562585173368, 2.9525083417053533], [0.45906451069907195, 2.0584180600038144], [1.0, 1.4014240325402092], [0.0, 3.2725231151551153], [0.8232641826110744, 1.642115625072364], [0.6859102710479424, 1.7738876423979606], [0.2129526224435591, 2.409496302170557], [0.6308422226634174, 1.872852534807034], [0.5334534264104162, 1.9540988866421962], [0.9713418148191187, 1.6190600507212007]]"
1,8,15,1.034184,1.280955,4.600667,0.083881,0.758993,100.0000,1.285312,"[[0.14873878471667504, 2.71944961832445], [0.45906451069907195, 2.0584180600038144], [0.2129526224435591, 2.409496302170557], [0.5334534264104162, 1.9540988866421962], [0.9530011178408705, 1.1852963915000478], [0.0, 3.1692830679207575], [0.5539301198010976, 1.7199600851969539], [0.699197998022451, 1.5981461283869172], [0.824046006690331, 1.4429506003370098], [0.9419842690470207, 1.3678741697653642], [0.4213011123292607, 2.103766779243731], [0.03323758574227964, 2.782278249571685], [0.2493106371102196, 2.199166114279069], [0.6380380452390316, 1.6846799677564], [0.7806383721068042, 1.547010881031363]]"
1,9,14,0.925715,1.194403,4.814397,0.129344,0.779100,100.0000,1.243516,"[[0.0, 3.1692830679207575], [0.824046006690331, 1.4429506003370098], [0.03323758574227964, 2.782278249571685], [0.2493106371102196, 2.199166114279069], [0.8582650440577381, 1.2147363265149214], [1.0, 1.0453645546064978], [0.27240657345638697, 2.148137382216375], [0.5417643971914523, 1.4617651897099668], [0.3904573887210842, 2.0204795929221078], [0.6799869571898622, 1.4445530981882768], [0.06152476330879464, 2.3568043653436557], [0.9413179162087978, 1.1326000462089967], [0.9451985181009049, 1.0869868208407456], [0.42453071479929017, 1.8061512923905387]]"
1,10,22,0.849758,1.125238,4.902033,0.075445,0.821124,100.0000,1.218682,"[[0.03323758574227964, 2.782278249571685], [0.2493106371102196, 2.199166114279069], [0.27240657345638697, 2.148137382216375], [0.5417643971914523, 1.4617651897099668], [0.3904573887210842, 2.0204795929221078], [0.06152476330879464, 2.3568043653436557], [0.9451985181009049, 1.0869868208407456], [0.42453071479929017, 1.8061512923905387], [0.0, 2.9738217229153325], [0.5376572612887902, 1.6087857866958488], [0.37724417440211533, 2.040062303637631], [0.0014616389773811633, 2.823327854129891], [0.9779907283762741, 0.9636261820880803], [0.5130328698348716, 1.7006996129327794], [0.7322954853949737, 1.1985430786749516], [0.29254481784957476, 2.132051516235926], [0.6385400332231966, 1.3209112699614072], [0.9655637065199385, 1.034235046542528], [0.8745888236314938, 1.11247051606083], [0.8410701332176119, 1.1436565948685284], [0.6716484626293675, 1.3152285456642612], [0.9560719671043041, 1.06743508167104]]"
