run_id,migd,migd_bc,front_feasibility_pct,front_size
1,0.19309716,0.12983979,100.0000,23
2,0.17753217,0.10634824,100.0000,32
3,0.17466427,0.10435911,100.0000,35
4,0.18756858,0.11657051,100.0000,30
5,0.18225951,0.11259286,100.0000,28
6,0.20377333,0.13945475,100.0000,33
7,0.18192890,0.11678640,100.0000,26
8,0.18677388,0.12090389,100.0000,21
9,0.17869649,0.11126724,100.0000,31
10,0.19418593,0.12593721,100.0000,23
11,0.18793759,0.11623893,100.0000,30
12,0.18683437,0.12129283,100.0000,27
13,0.18794733,0.12116165,100.0000,18
14,0.17245086,0.10304250,100.0000,32
15,0.19146059,0.12640116,100.0000,33
16,0.19994141,0.12926914,100.0000,23
17,0.17447718,0.10431828,100.0000,22
18,0.17686745,0.10546533,100.0000,29
19,0.18978780,0.11996626,100.0000,22
20,0.19800206,0.13389139,100.0000,28
21,0.19529491,0.12962203,100.0000,24
22,0.18329676,0.11823618,100.0000,18
23,0.18934926,0.12551555,100.0000,29
24,0.17544849,0.10675967,100.0000,26
25,0.18865724,0.12107477,100.0000,14
26,0.19230693,0.12289978,100.0000,24
27,0.18893988,0.12119614,100.0000,30
28,0.19494461,0.12932586,100.0000,32
29,0.18536614,0.11803023,100.0000,15
30,0.20141639,0.13121508,100.0000,17
