run_id,migd,migd_bc,front_feasibility_pct,front_size
1,0.02701697,0.02740404,21.0000,9
2,0.02517015,0.02429693,21.0000,11
3,0.02920895,0.02998739,22.0000,8
4,0.02408271,0.02165084,21.0000,11
5,0.02487353,0.02252624,22.0000,7
6,0.02580224,0.02542346,22.0000,10
7,0.02763892,0.02761429,22.0000,13
8,0.02597140,0.02278649,21.0000,9
9,0.02509197,0.02254520,20.0000,7
10,0.02809378,0.03068343,20.0000,8
11,0.02481392,0.02273721,23.0000,10
12,0.02750794,0.03104174,27.0000,11
13,0.02529925,0.02624495,20.0000,10
14,0.02951162,0.03119087,20.0000,8
15,0.03151832,0.03676933,22.0000,10
16,0.02525186,0.02419174,21.0000,11
17,0.02721727,0.02574692,23.0000,11
18,0.02723450,0.02356938,22.0000,9
19,0.03033962,0.03448936,23.0000,15
20,0.02838063,0.02522488,23.0000,9
21,0.02576116,0.02364801,22.0000,11
22,0.03439363,0.04474874,23.0000,10
23,0.02426829,0.02630648,20.0000,8
24,0.02519973,0.02330128,21.0000,8
25,0.02565055,0.02689469,20.0000,11
26,0.02564647,0.02571700,24.0000,12
27,0.02705043,0.02849363,23.0000,11
28,0.02767696,0.02958485,22.0000,13
29,0.02582126,0.02476725,21.0000,9
30,0.02450636,0.02224248,23.0000,7
