run_id,migd,migd_bc,front_feasibility_pct,front_size
1,0.02746058,0.02775410,20.0000,12
2,0.02806181,0.02506613,20.0000,11
3,0.02574614,0.02496872,23.0000,8
4,0.02824082,0.02531630,20.0000,7
5,0.02915202,0.03148076,22.0000,11
6,0.02438760,0.02082261,20.0000,5
7,0.02687987,0.02898854,20.0000,10
8,0.02842405,0.02918822,21.0000,10
9,0.02782705,0.03085194,20.0000,5
10,0.02508104,0.02504410,21.0000,11
11,0.02538664,0.02273915,21.0000,9
12,0.02555886,0.02325307,22.0000,10
13,0.02741903,0.02564358,20.0000,7
14,0.02756218,0.02743546,22.0000,9
15,0.02675105,0.02677441,21.0000,11
16,0.02659099,0.02686975,21.0000,10
17,0.02479481,0.02217340,24.0000,10
18,0.02921706,0.03105857,22.0000,10
19,0.03188345,0.03469555,20.0000,10
20,0.02678863,0.03241748,20.0000,11
21,0.02661023,0.02389167,22.0000,7
22,0.02648926,0.02326547,21.0000,13
23,0.02667608,0.02940338,21.0000,7
24,0.02367792,0.02116342,23.0000,11
25,0.02508159,0.02160062,21.0000,9
26,0.02612694,0.02598098,21.0000,10
27,0.02667911,0.02712518,20.0000,10
28,0.03288836,0.03081795,21.0000,12
29,0.02735831,0.02559979,23.0000,8
30,0.02499391,0.02474699,23.0000,10
