run_id,migd,migd_bc,front_feasibility_pct,front_size
1,0.11378387,0.03794099,100.0000,26
2,0.11813237,0.04000811,100.0000,28
3,0.11445624,0.03857442,100.0000,24
4,0.11912345,0.04155286,100.0000,21
5,0.11523300,0.03977897,100.0000,35
6,0.11608303,0.03882752,100.0000,29
7,0.11823319,0.03895369,100.0000,25
8,0.11230672,0.03879983,100.0000,32
9,0.11136630,0.03802763,100.0000,30
10,0.11785881,0.03897924,100.0000,45
11,0.11812672,0.04031368,100.0000,26
12,0.12008533,0.04073588,100.0000,30
13,0.11961915,0.04084220,100.0000,28
14,0.11489600,0.03943017,100.0000,34
15,0.11311246,0.03894853,100.0000,30
16,0.11129609,0.03897208,100.0000,32
17,0.11454973,0.03742968,100.0000,29
18,0.11701832,0.04000105,100.0000,27
19,0.12718793,0.04285923,100.0000,27
20,0.12102514,0.04145127,100.0000,29
21,0.11617976,0.03886643,100.0000,36
22,0.11459316,0.03899187,100.0000,31
23,0.11846175,0.04000302,100.0000,36
24,0.12174908,0.04314264,100.0000,28
25,0.11532837,0.04002464,100.0000,30
26,0.11394009,0.03795080,100.0000,30
27,0.11593091,0.04041600,100.0000,20
28,0.11472577,0.03903625,100.0000,33
29,0.12131909,0.04221412,100.0000,27
30,0.11742810,0.04132897,100.0000,26
