Problem  , Solver           , Num_Runs, Mean_P_RED             , Std_P_RED            , Min_P_RED            , Max_P_RED
G01      , CCPSO.summary.out,       30,    0.610786704411965   , 0.05029441902693573  ,    0.6004473782790373,    0.8765845274782124
G02      , CCPSO.summary.out,       30,    0.9108399527179649  , 0.013259171026129864 ,    0.8772156508431717,    0.938451486826602
G04      , CCPSO.summary.out,       30,    0.4478681267745258  , 0.2747243868858143   ,    0.0285208704842283,    0.7840932478424201
G05      , CCPSO.summary.out,       30,    0.9479516090488791  , 0.05703632374781112  ,    0.8112410676507515,    1.032557338373205
G06      , CCPSO.summary.out,       30,  179.25813789337093    , 2.890758581290855e-14,  179.2581378933709   ,  179.2581378933709
CMPB_SOSC, CCPSO.summary.out,       30,    0.20486693366866132 , 0.041254688920825795 ,    0.1213716635318598,    0.2324947504894687
CMPB_SODC, CCPSO.summary.out,       30,    0.027072506656014808, 0.013280487292456537 ,    0.02064458268929  ,    0.059553012400341
CMPB_DOSC, CCPSO.summary.out,       30,    96.33333333333333 , 17.653920797948256  , 0.20800970370452623  ,    0.0624116432615974,    0.8473203219337087
G03      , CCPSO.summary.out,        5, 3314.5906948199236     , 1493.3137976863052   , 1953.785379603885    , 5076.867618627367
