run_id,migd,migd_bc,front_feasibility_pct,front_size
1,0.00696193,0.00511144,100.0000,81
2,0.00688164,0.00500809,100.0000,80
3,0.00690093,0.00504271,100.0000,81
4,0.00730314,0.00529625,100.0000,84
5,0.00707977,0.00499445,100.0000,81
6,0.00724317,0.00498716,100.0000,81
7,0.00701950,0.00490040,100.0000,82
8,0.00715961,0.00481385,100.0000,81
9,0.00751613,0.00515166,100.0000,82
10,0.00666670,0.00489800,100.0000,81
11,0.00707568,0.00512941,100.0000,80
12,0.00758297,0.00526646,100.0000,81
13,0.00757117,0.00492610,100.0000,80
14,0.00628041,0.00489191,100.0000,83
15,0.00755872,0.00498539,100.0000,81
16,0.00728713,0.00509158,100.0000,82
17,0.00684670,0.00477000,100.0000,82
18,0.00675915,0.00483363,100.0000,83
19,0.00713362,0.00484656,100.0000,81
20,0.00696138,0.00528768,100.0000,81
21,0.00681788,0.00471067,100.0000,81
22,0.00670775,0.00506465,100.0000,81
23,0.00763655,0.00512605,100.0000,83
24,0.00674310,0.00498800,100.0000,80
25,0.00698267,0.00489617,100.0000,82
26,0.00690066,0.00492497,100.0000,82
27,0.00657465,0.00492944,100.0000,81
28,0.00671918,0.00494604,100.0000,82
29,0.00693147,0.00497305,100.0000,81
30,0.00720021,0.00490359,100.0000,81
