run_id,migd,migd_bc,front_feasibility_pct,front_size
1,0.06550766,0.01071610,100.0000,59
2,0.05995992,0.00965812,100.0000,45
3,0.06010144,0.01032157,100.0000,47
4,0.06519637,0.01096997,100.0000,49
5,0.06099904,0.01023707,100.0000,42
6,0.06279304,0.01066905,100.0000,37
7,0.06443523,0.01104790,100.0000,45
8,0.06021674,0.01036957,100.0000,50
9,0.05994373,0.01066165,100.0000,51
10,0.06319007,0.01037339,100.0000,49
11,0.06316513,0.01014543,100.0000,46
12,0.06168390,0.01008367,100.0000,45
13,0.06179443,0.01035475,100.0000,43
14,0.06131077,0.01058247,100.0000,57
15,0.05785381,0.01050546,100.0000,50
16,0.05781483,0.01002900,100.0000,45
17,0.06212634,0.01048807,100.0000,46
18,0.06219803,0.01049173,100.0000,41
19,0.06693524,0.01071798,100.0000,50
20,0.06259527,0.01025091,100.0000,55
21,0.06106499,0.00989289,100.0000,41
22,0.06070417,0.01007636,100.0000,53
23,0.06078186,0.01040605,100.0000,37
24,0.06351876,0.01071732,100.0000,52
25,0.06253423,0.01067570,100.0000,51
26,0.06030842,0.01018124,100.0000,45
27,0.05966848,0.00988790,100.0000,45
28,0.06641839,0.01124272,100.0000,46
29,0.06191025,0.01025358,100.0000,50
30,0.06104014,0.01095008,100.0000,40
