run_id,migd,migd_bc,front_feasibility_pct,front_size
1,0.02786155,0.03079353,100.0000,67
2,0.02998402,0.03440684,100.0000,69
3,0.03091154,0.03256330,100.0000,65
4,0.02977484,0.03454685,100.0000,63
5,0.02907221,0.02539431,100.0000,77
6,0.02853436,0.02920693,100.0000,76
7,0.02626064,0.02934034,100.0000,72
8,0.03236450,0.03136483,100.0000,65
9,0.02634455,0.02569229,100.0000,74
10,0.03666024,0.03921042,100.0000,72
11,0.03327076,0.03180946,100.0000,70
12,0.02699488,0.02528743,100.0000,67
13,0.03583801,0.03750326,100.0000,70
14,0.03984889,0.04458103,100.0000,65
15,0.02952305,0.02807563,100.0000,66
16,0.02792726,0.02686202,100.0000,70
17,0.02579396,0.02413483,100.0000,63
18,0.02834499,0.02253247,100.0000,70
19,0.02880692,0.02673619,100.0000,67
20,0.03472436,0.03292137,100.0000,73
21,0.02749235,0.02573913,100.0000,67
22,0.03139931,0.03297375,100.0000,66
23,0.03069405,0.02949471,100.0000,61
24,0.02785462,0.02537144,100.0000,81
25,0.03015184,0.02784752,100.0000,68
26,0.02680570,0.02699232,100.0000,77
27,0.03010033,0.03386183,100.0000,78
28,0.04169548,0.05178944,100.0000,70
29,0.03480855,0.03313780,100.0000,62
30,0.03200171,0.02697382,100.0000,71
