run_id,migd,migd_bc,front_feasibility_pct,front_size
1,0.02879370,0.03553276,100.0000,76
2,0.02507538,0.02097819,100.0000,63
3,0.02748162,0.02798071,100.0000,72
4,0.03356422,0.03250269,100.0000,61
5,0.03505723,0.03641445,100.0000,70
6,0.02404114,0.02316670,100.0000,64
7,0.02592721,0.02635474,100.0000,73
8,0.02379371,0.02221959,100.0000,75
9,0.02523946,0.02197083,100.0000,69
10,0.02815540,0.02455606,100.0000,67
11,0.02888926,0.03364760,100.0000,65
12,0.03983442,0.03372937,100.0000,67
13,0.03351186,0.03499352,100.0000,66
14,0.03741382,0.03880044,100.0000,74
15,0.03049815,0.02919530,100.0000,67
16,0.03119342,0.02838610,100.0000,75
17,0.03197853,0.03038488,100.0000,71
18,0.02885659,0.02634445,100.0000,59
19,0.02738733,0.02646792,100.0000,72
20,0.03536323,0.02730496,100.0000,67
21,0.03399933,0.03155075,100.0000,73
22,0.02466485,0.02356287,100.0000,77
23,0.02926288,0.02914502,100.0000,62
24,0.02724180,0.02486000,100.0000,79
25,0.04094667,0.04456844,100.0000,72
26,0.02799103,0.02326296,100.0000,65
27,0.02788778,0.02636228,100.0000,65
28,0.02731667,0.02598949,100.0000,72
29,0.02901352,0.03065601,100.0000,63
30,0.02831229,0.03084065,100.0000,76
