problem_name,solver_name,run_id,relative_error_distance
G01,CCPSO,1,0.6004629376927086
G01,CCPSO,2,0.6012657289330667
G01,CCPSO,3,0.6012069034306352
G01,CCPSO,4,0.601106206927643
G01,CCPSO,5,0.6008445417897011
G01,CCPSO,6,0.6010284502128926
G01,CCPSO,7,0.6014083907575835
G01,CCPSO,8,0.61772042335186
G01,CCPSO,9,0.6010581071411802
G01,CCPSO,10,0.6014309519458354
G01,CCPSO,11,0.6006168304516403
G01,CCPSO,12,0.6008255384042932
G01,CCPSO,13,0.6009230174822879
G01,CCPSO,14,0.6007709498946631
G01,CCPSO,15,0.6007015930733955
G01,CCPSO,16,0.6008547359240424
G01,CCPSO,17,0.6013073241961977
G01,CCPSO,18,0.6007704007444039
G01,CCPSO,19,0.6007802720000001
G01,CCPSO,20,0.6017218594892811
G01,CCPSO,21,0.6013017008168247
G01,CCPSO,22,0.6013260541387878
G01,CCPSO,23,0.8765845274782124
G01,CCPSO,24,0.6004473782790373
G01,CCPSO,25,0.6008102778972665
G01,CCPSO,26,0.6010596780898801
G01,CCPSO,27,0.6012215370594021
G01,CCPSO,28,0.6018903339403484
G01,CCPSO,29,0.6012501975931194
G01,CCPSO,30,0.6009042832227569
