run_id,migd,migd_bc,front_feasibility_pct,front_size
1,0.63827452,0.44024766,100.0000,16
2,0.64619078,0.44204887,100.0000,16
3,0.58839887,0.40200789,100.0000,12
4,0.59255156,0.39563119,100.0000,12
5,0.63744681,0.43357450,100.0000,14
6,0.65366754,0.44636366,100.0000,15
7,0.69064444,0.46316833,100.0000,15
8,0.65743766,0.44412387,100.0000,15
9,0.68221744,0.47194276,100.0000,18
10,0.72266915,0.50539749,100.0000,10
11,0.63181041,0.42812332,100.0000,12
12,0.64364373,0.43246481,100.0000,14
13,0.65756134,0.44816795,100.0000,25
14,0.70892841,0.49056623,100.0000,17
15,0.52830260,0.35075237,100.0000,13
16,0.63424050,0.44262844,100.0000,19
17,0.68227604,0.47529832,100.0000,14
18,0.62029776,0.41972227,100.0000,12
19,0.57518244,0.38854118,100.0000,9
20,0.71645689,0.49301614,100.0000,17
21,0.68928693,0.47277500,100.0000,12
22,0.62858254,0.43696791,100.0000,14
23,0.61723940,0.41691477,100.0000,18
24,0.63694470,0.43461485,100.0000,15
25,0.69772500,0.47866216,100.0000,16
26,0.64193969,0.43181333,100.0000,11
27,0.69123711,0.46959348,100.0000,12
28,0.64027459,0.43803021,100.0000,18
29,0.67687381,0.46025329,100.0000,17
30,0.67356698,0.46692940,100.0000,18
