run_id,migd,migd_bc,front_feasibility_pct,front_size
1,0.46882570,0.33482804,100.0000,11
2,0.50027116,0.35528192,100.0000,12
3,0.49447682,0.35278610,100.0000,15
4,0.49486753,0.35564168,100.0000,17
5,0.75753265,0.60016310,100.0000,13
6,0.49745583,0.35277825,100.0000,12
7,0.48666623,0.34314769,100.0000,18
8,0.50184680,0.36326454,100.0000,14
9,0.49290952,0.34855251,100.0000,18
10,0.50189229,0.35659647,100.0000,17
11,0.50189360,0.35924803,100.0000,13
12,0.47636123,0.34038248,100.0000,21
13,0.51273472,0.36781711,100.0000,17
14,0.66606278,0.51034983,100.0000,17
15,0.49942128,0.35693028,100.0000,12
16,0.51887078,0.37226525,100.0000,22
17,0.49618282,0.34968592,100.0000,13
18,0.50654276,0.35592501,100.0000,11
19,0.51329057,0.37167099,100.0000,14
20,0.50804972,0.36759996,100.0000,16
21,0.49940501,0.35096049,100.0000,16
22,0.50969316,0.36606219,100.0000,17
23,0.51161325,0.36694080,100.0000,11
24,0.49323075,0.35161399,100.0000,15
25,0.49571553,0.35418585,100.0000,14
26,0.51528694,0.36060491,100.0000,13
27,0.47912693,0.34665527,100.0000,19
28,0.51274544,0.37093823,100.0000,18
29,0.49054357,0.35559350,100.0000,15
30,0.51549704,0.36914683,100.0000,13
