run_id,migd,migd_bc,front_feasibility_pct,front_size
1,0.01023131,0.00907909,100.0000,65
2,0.01044606,0.00897504,100.0000,67
3,0.01032439,0.00897069,100.0000,67
4,0.01006238,0.00860739,100.0000,70
5,0.01102292,0.00954526,100.0000,69
6,0.01041873,0.00917183,100.0000,72
7,0.01035274,0.00876933,100.0000,69
8,0.01094699,0.00923694,100.0000,76
9,0.01025925,0.00868661,100.0000,66
10,0.00977160,0.00844107,100.0000,73
11,0.01023263,0.00894944,100.0000,67
12,0.01035042,0.00869205,100.0000,66
13,0.01074457,0.00931107,100.0000,68
14,0.00952267,0.00855466,100.0000,66
15,0.01092121,0.00899560,100.0000,70
16,0.01060972,0.00924161,100.0000,70
17,0.01027007,0.00889349,100.0000,67
18,0.01045748,0.00907568,100.0000,72
19,0.01050855,0.00891413,100.0000,75
20,0.01006606,0.00893156,100.0000,73
21,0.01046129,0.00896259,100.0000,68
22,0.00926485,0.00835752,100.0000,69
23,0.01129944,0.00952021,100.0000,66
24,0.01033501,0.00896081,100.0000,65
25,0.01026130,0.00881292,100.0000,73
26,0.01055303,0.00916289,100.0000,66
27,0.01004855,0.00891529,100.0000,62
28,0.00978496,0.00843544,100.0000,64
29,0.00985051,0.00844233,100.0000,74
30,0.01011754,0.00867195,100.0000,77
