problem_name,solver_name,run_id,relative_error_distance
G06,CCPSO,1,179.2581378933709
G06,CCPSO,2,179.2581378933709
G06,CCPSO,3,179.2581378933709
G06,CCPSO,4,179.2581378933709
G06,CCPSO,5,179.2581378933709
G06,CCPSO,6,179.2581378933709
G06,CCPSO,7,179.2581378933709
G06,CCPSO,8,179.2581378933709
G06,CCPSO,9,179.2581378933709
G06,CCPSO,10,179.2581378933709
G06,CCPSO,11,179.2581378933709
G06,CCPSO,12,179.2581378933709
G06,CCPSO,13,179.2581378933709
G06,CCPSO,14,179.2581378933709
G06,CCPSO,15,179.2581378933709
G06,CCPSO,16,179.2581378933709
G06,CCPSO,17,179.2581378933709
G06,CCPSO,18,179.2581378933709
G06,CCPSO,19,179.2581378933709
G06,CCPSO,20,179.2581378933709
G06,CCPSO,21,179.2581378933709
G06,CCPSO,22,179.2581378933709
G06,CCPSO,23,179.2581378933709
G06,CCPSO,24,179.2581378933709
G06,CCPSO,25,179.2581378933709
G06,CCPSO,26,179.2581378933709
G06,CCPSO,27,179.2581378933709
G06,CCPSO,28,179.2581378933709
G06,CCPSO,29,179.2581378933709
G06,CCPSO,30,179.2581378933709
