problem,algorithm,migd_mean,migd_std,migd_before_change_mean,migd_before_change_std,front_feasibility_pct_mean,front_feasibility_pct_std
FDA1,DNSGA2_A,0.650062,0.042819,0.444011,0.032659,100.0000,0.0000
FDA3,DNSGA2_A,0.513967,0.055423,0.370254,0.051621,100.0000,0.0000
DTNK,DNSGA2_A,0.030221,0.001552,0.028270,0.002283,99.3333,0.7888
DTNK3,DNSGA2_A,0.010317,0.000426,0.008909,0.000302,100.0000,0.0000
DTNK2,DNSGA2_A,0.030295,0.001538,0.028611,0.002346,99.3333,0.6992
