problem,algorithm,migd_mean,migd_std,migd_before_change_mean,migd_before_change_std,front_feasibility_pct_mean,front_feasibility_pct_std
FDA1,MGPSO,0.2032,0.0116,0.1446,0.0094,100.0000,0.0000
FDA3,MGPSO,0.2740,0.0111,0.2245,0.0092,100.0000,0.0000
DTNK,MGPSO,1.0025,0.0003,1.0028,0.0000,0.0000,0.0000
DTNK,MGPSO_feasarch,0.0474,0.0037,0.0408,0.0034,100.0000,0.0000
DTNK,CCPSO_filter,0.0310,0.0014,0.0260,0.0013,100.0000,0.0000
DTNK,CCPSO_strict,0.0307,0.0010,0.0257,0.0009,100.0000,0.0000
DTNK3,MGPSO,0.9927,0.0002,0.9931,0.0000,0.0000,0.0000
DTNK3,MGPSO_feasarch,0.0114,0.0016,0.0109,0.0017,100.0000,0.0000
DTNK3,CCPSO_filter,0.0069,0.0007,0.0064,0.0006,100.0000,0.0000
DTNK3,CCPSO_strict,0.0069,0.0005,0.0065,0.0004,100.0000,0.0000
DTNK2,MGPSO,1.0024,0.0003,1.0028,0.0000,0.0000,0.0000
DTNK2,MGPSO_feasarch,0.0485,0.0030,0.0418,0.0025,100.0000,0.0000
DTNK2,CCPSO_filter,0.0314,0.0012,0.0262,0.0011,100.0000,0.0000
DTNK2,CCPSO_strict,0.0310,0.0007,0.0258,0.0007,100.0000,0.0000
