problem,algorithm,migd_mean,migd_std,migd_before_change_mean,migd_before_change_std,front_feasibility_pct_mean,front_feasibility_pct_std
FDA1,DNSGA2_A,0.116772,0.003392,0.039813,0.001431,100.0000,0.0000
FDA3,DNSGA2_A,0.187374,0.008255,0.119633,0.009491,100.0000,0.0000
DTNK,DNSGA2_A,0.026993,0.001969,0.026538,0.003504,21.2000,1.1372
DTNK3,DNSGA2_A,0.008134,0.000351,0.006313,0.000188,100.0000,0.0000
DTNK2,DNSGA2_A,0.026867,0.002295,0.027061,0.004920,21.8333,1.4851
