problem,algorithm,paired_runs,clean_migd_mean,clean_migd_std,clear_migd_mean,clear_migd_std,clean_migd_bc_mean,clear_migd_bc_mean,wilcoxon_p,better
FDA1,MGPSO,30,0.2032,0.0116,0.2576,0.0106,0.1446,0.1608,1.863e-09,clean
FDA3,MGPSO,30,0.2740,0.0111,0.3119,0.0080,0.2245,0.2387,1.863e-09,clean
DTNK,MGPSO_feasarch,30,0.0474,0.0037,0.1505,0.0127,0.0408,0.0674,1.863e-09,clean
DTNK,CCPSO_filter,30,0.0310,0.0014,0.0809,0.0020,0.0260,0.0411,1.863e-09,clean
DTNK,CCPSO_strict,30,0.0307,0.0010,0.0811,0.0029,0.0257,0.0409,1.863e-09,clean
DTNK3,MGPSO_feasarch,30,0.0114,0.0016,0.1284,0.0326,0.0109,0.0712,1.863e-09,clean
DTNK3,CCPSO_filter,30,0.0069,0.0007,0.0919,0.0027,0.0064,0.0437,1.863e-09,clean
DTNK3,CCPSO_strict,30,0.0069,0.0005,0.0931,0.0032,0.0065,0.0440,1.863e-09,clean
DTNK2,MGPSO_feasarch,30,0.0485,0.0030,0.1567,0.0292,0.0418,0.0695,1.863e-09,clean
DTNK2,CCPSO_filter,30,0.0314,0.0012,0.0810,0.0034,0.0262,0.0408,1.863e-09,clean
DTNK2,CCPSO_strict,30,0.0310,0.0007,0.0815,0.0030,0.0258,0.0413,1.863e-09,clean
