problem,algorithm,migd_mean,migd_std,migd_before_change_mean,migd_before_change_std,front_feasibility_pct_mean,front_feasibility_pct_std
FDA1,DNSGA2_A,0.061926,0.002186,0.010432,0.000361,100.0000,0.0000
FDA3,DNSGA2_A,0.063789,0.002413,0.011359,0.000320,100.0000,0.0000
DTNK,DNSGA2_A,0.030728,0.003902,0.030905,0.006161,100.0000,0.0000
DTNK3,DNSGA2_A,0.007033,0.000324,0.004990,0.000143,100.0000,0.0000
DTNK2,DNSGA2_A,0.029956,0.004422,0.029058,0.005406,100.0000,0.0000
