problem,metric,ccpso,nsga2,ccpso_improvement_pct,p_value,n_ccpso,n_baseline,better
BNH,IGD,0.420200,0.561012,25.10,3.01986e-11,30,30,CCPSO
SRN,IGD,0.898400,1.303833,31.10,3.01986e-11,30,30,CCPSO
TNK,IGD,0.004300,0.003779,-13.79,0.0281265,30,30,baseline
CONSTR,IGD,0.024200,0.027606,12.34,3.01986e-11,30,30,CCPSO
OSY,HV,20372.157000,21978.239700,-7.31,1.07018e-09,30,30,baseline
