problem,algorithm,paired_runs,clean_migd_mean,clean_migd_std,clear_migd_mean,clear_migd_std,clean_migd_bc_mean,clear_migd_bc_mean,wilcoxon_p,better
FDA1,MGPSO,30,0.0736,0.0110,0.1066,0.0045,0.0418,0.0480,1.863e-09,clean
FDA3,MGPSO,30,0.0480,0.0044,0.0587,0.0034,0.0186,0.0204,2.608e-08,clean
DTNK,MGPSO_feasarch,30,0.0281,0.0025,0.0587,0.0099,0.0217,0.0283,1.863e-09,clean
DTNK,CCPSO_filter,30,0.0184,0.0011,0.0379,0.0019,0.0133,0.0171,1.863e-09,clean
DTNK,CCPSO_strict,30,0.0179,0.0007,0.0382,0.0016,0.0131,0.0174,1.863e-09,clean
DTNK3,MGPSO_feasarch,30,0.0115,0.0014,0.0588,0.0097,0.0100,0.0284,1.863e-09,clean
DTNK3,CCPSO_filter,30,0.0069,0.0007,0.0388,0.0019,0.0058,0.0174,1.863e-09,clean
DTNK3,CCPSO_strict,30,0.0069,0.0005,0.0386,0.0021,0.0058,0.0179,1.863e-09,clean
DTNK2,MGPSO_feasarch,30,0.0283,0.0021,0.0561,0.0116,0.0221,0.0290,1.863e-09,clean
DTNK2,CCPSO_filter,30,0.0182,0.0007,0.0383,0.0015,0.0130,0.0172,1.863e-09,clean
DTNK2,CCPSO_strict,30,0.0180,0.0006,0.0373,0.0017,0.0131,0.0171,1.863e-09,clean
